year,parameter,variant,country,scenario,uncovered_share,storage_cost_usd_yr_per_100mw_mid
2030,lambda_inf_band,lambda_inf_mid,ID,L3_W3,0.04173323822970458,4598281.370765775
2030,lambda_inf_band,lambda_inf_mid,IE,L0_W0,0.3053276732188849,33641831.09908643
2030,lambda_inf_band,lambda_inf_mid,IE,L3_W3,0.08694177151380472,9579480.175797822
2030,lambda_inf_band,lambda_inf_mid,IL,L0_W0,0.4414251971146387,48637425.385171734
2030,lambda_inf_band,lambda_inf_mid,IL,L3_W3,0.052530894176030414,5787996.386711706
2030,lambda_inf_band,lambda_inf_mid,IN,L0_W0,0.2565960584066043,28272449.61650721
2030,lambda_inf_band,lambda_inf_mid,IN,L3_W3,0.04752637315581651,5236584.688194723
2030,lambda_inf_band,lambda_inf_mid,IR,L0_W0,0.44742190331382165,49298158.737563066
2030,lambda_inf_band,lambda_inf_mid,IR,L3_W3,0.1917256228671109,21124849.09691949
2030,lambda_inf_band,lambda_inf_mid,IT,L0_W0,0.4011081405057464,44195182.74614202
2030,lambda_inf_band,lambda_inf_mid,IT,L3_W3,0.05384188399921383,5932444.800899635
2030,lambda_inf_band,lambda_inf_mid,JM,L0_W0,0.4407159041701498,48559273.56491022
2030,lambda_inf_band,lambda_inf_mid,JM,L3_W3,0.040699320092747446,4484361.466398448
2030,lambda_inf_band,lambda_inf_mid,JO,L0_W0,0.2839166895106103,31282710.846456435
