country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,top2_label,top2_weight,top3_label,top3_weight
RU,L3,W2,L3_W2,0.09730209016081641,461,66,0.12943085239195867,IN:PV,0.06745001769822544,Europe,MX:PV,0.046110789166678545,SR:PV,0.04050408231597501
RU,L3,W3,L3_W3,0.09593176905053884,461,61,0.1336887478787587,IN:PV,0.06982685775098108,Europe,MX:PV,0.044757626062157566,CV:PV,0.04114626696040676
RW,L0,W0,L0_W0,0.46429810952279793,1,1,0.0,RW:PV,1.0,Africa/MENA,,,,
RW,L0,W1,L0_W1,0.4388700084704784,1,1,0.05440113818190389,RW:PV,0.9999999999999999,Africa/MENA,,,,
RW,L0,W2,L0_W2,0.38414360834214817,1,1,0.15761063865386862,RW:PV,1.0,Africa/MENA,,,,
RW,L0,W3,L0_W3,0.2923368604408701,1,1,0.29970618281498423,RW:PV,1.0,Africa/MENA,,,,
RW,L1,W0,L1_W0,0.276261771715933,5,4,0.0,KE:WIND,0.49489857785065905,Africa/MENA,UG:PV,0.20385737630773576,RW:PV,0.1799518535321934
RW,L1,W1,L1_W1,0.2520821591667813,5,5,0.05106085796802927,KE:WIND,0.4876453321852739,Africa/MENA,UG:PV,0.2082383834834278,RW:PV,0.1769367178139001
RW,L1,W2,L1_W2,0.207579616654258,5,5,0.1380823943805087,KE:WIND,0.46942189037762766,Africa/MENA,UG:PV,0.21342565587455561,RW:PV,0.17480587444245843
RW,L1,W3,L1_W3,0.16009475506627316,5,5,0.2244108084778667,KE:WIND,0.45210530605285043,Africa/MENA,UG:PV,0.20931859272984443,RW:PV,0.17572239910181478
RW,L2,W0,L2_W0,0.20927998015423524,8,7,0.0,ET:WIND,0.41979749001321287,Africa/MENA,ZM:PV,0.19573674352516363,KE:WIND,0.1875525974203299
