country,region,continent,tau_ms,phi,reach_km,n_partners,uncovered_share,uncovered_share_baseline,migrated_share
LK,Asia-Pacific,Asia,500,0.8,31714,39,0.12641646768730094,0.2813254557897936,0.15490898810249268
LK,Asia-Pacific,Asia,500,1.0,31714,39,0.1194693876964677,0.2813254557897936,0.1618560680933259
LY,Africa/MENA,EurAfrMENA,50,0.0,0,0,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,50,0.2,0,0,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,50,0.4,0,0,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,50,0.6,0,0,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,50,0.8,0,0,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,50,1.0,0,0,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,100,0.0,3143,15,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,100,0.2,3143,15,0.1924181833434737,0.24003481807560745,0.047616634732133754
LY,Africa/MENA,EurAfrMENA,100,0.4,3143,15,0.16523223768290948,0.24003481807560745,0.07480258039269791
LY,Africa/MENA,EurAfrMENA,100,0.6,3143,15,0.15038708993672165,0.24003481807560745,0.08964772813888576
LY,Africa/MENA,EurAfrMENA,100,0.8,3143,15,0.14342373586535645,0.24003481807560745,0.09661108221025096
LY,Africa/MENA,EurAfrMENA,100,1.0,3143,15,0.14133706437217863,0.24003481807560745,0.09869775370342876
LY,Africa/MENA,EurAfrMENA,150,0.0,6714,25,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,150,0.2,6714,25,0.19118720610532797,0.24003481807560745,0.048847611970279446
LY,Africa/MENA,EurAfrMENA,150,0.4,6714,25,0.16241912879012524,0.24003481807560745,0.07761568928548215
LY,Africa/MENA,EurAfrMENA,150,0.6,6714,25,0.14645583500337517,0.24003481807560745,0.09357898307223225
LY,Africa/MENA,EurAfrMENA,150,0.8,6714,25,0.13901077749120436,0.24003481807560745,0.10102404058440305
LY,Africa/MENA,EurAfrMENA,150,1.0,6714,25,0.1367995877232645,0.24003481807560745,0.10323523035234292
LY,Africa/MENA,EurAfrMENA,200,0.0,10286,33,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,200,0.2,10286,33,0.1840498886605729,0.24003481807560745,0.055984929415034544
LY,Africa/MENA,EurAfrMENA,200,0.4,10286,33,0.1509876960661173,0.24003481807560745,0.08904712200949011
LY,Africa/MENA,EurAfrMENA,200,0.6,10286,33,0.13269161054414538,0.24003481807560745,0.10734320753146205
LY,Africa/MENA,EurAfrMENA,200,0.8,10286,33,0.12419854578961126,0.24003481807560745,0.11583627228599615
LY,Africa/MENA,EurAfrMENA,200,1.0,10286,33,0.12167616137839607,0.24003481807560745,0.11835865669721135
LY,Africa/MENA,EurAfrMENA,300,0.0,17429,38,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,300,0.2,17429,38,0.1804738061557717,0.24003481807560745,0.059561011919835746
LY,Africa/MENA,EurAfrMENA,300,0.4,17429,38,0.14424973417565481,0.24003481807560745,0.09578508389995259
LY,Africa/MENA,EurAfrMENA,300,0.6,17429,38,0.12423386127464882,0.24003481807560745,0.11580095680095859
LY,Africa/MENA,EurAfrMENA,300,0.8,17429,38,0.11496455961517506,0.24003481807560745,0.12507025846043235
LY,Africa/MENA,EurAfrMENA,300,1.0,17429,38,0.11222984563158737,0.24003481807560745,0.12780497244402006
LY,Africa/MENA,EurAfrMENA,500,0.0,31714,39,0.24003481807560745,0.24003481807560745,0.0
LY,Africa/MENA,EurAfrMENA,500,0.2,31714,39,0.18049267837269445,0.24003481807560745,0.059542139702912965
LY,Africa/MENA,EurAfrMENA,500,0.4,31714,39,0.1442857308393394,0.24003481807560745,0.09574908723626802
LY,Africa/MENA,EurAfrMENA,500,0.6,31714,39,0.12428667766253457,0.24003481807560745,0.11574814041307285
LY,Africa/MENA,EurAfrMENA,500,0.8,31714,39,0.1150188691190241,0.24003481807560745,0.1250159489565833
