country,region,continent,dist_ring,dist_km,grace_h,phi,uncovered_share,uncovered_share_baseline,uncovered_share_temporal_only,migrated_share,deferred_share
LC,North America,Americas,D1,500.0,1,0.2,0.4850317253451131,0.49362954141947557,0.4850317253451131,0.0,0.018684552503677305
LC,North America,Americas,D2,3000.0,1,0.2,0.4850317253451131,0.49362954141947557,0.4850317253451131,0.0,0.018684552503677305
LC,North America,Americas,D3,,1,0.2,0.3155566520765519,0.49362954141947557,0.4850317253451131,0.30708766314725244,0.018684552503677305
LC,North America,Americas,D0,0.0,3,0.2,0.47302485491398627,0.49362954141947557,0.47302485491398627,0.0,0.04538018242842417
LC,North America,Americas,D1,500.0,3,0.2,0.47302485491398627,0.49362954141947557,0.47302485491398627,0.0,0.04538018242842417
LC,North America,Americas,D2,3000.0,3,0.2,0.47302485491398627,0.49362954141947557,0.47302485491398627,0.0,0.04538018242842417
LC,North America,Americas,D3,,3,0.2,0.3076107577096493,0.49362954141947557,0.47302485491398627,0.2983090541786151,0.04538018242842417
LC,North America,Americas,D0,0.0,6,0.2,0.46344055756878205,0.49362954141947557,0.46344055756878205,0.0,0.06931681925994039
LC,North America,Americas,D1,500.0,6,0.2,0.46344055756878205,0.49362954141947557,0.46344055756878205,0.0,0.06931681925994039
LC,North America,Americas,D2,3000.0,6,0.2,0.46344055756878205,0.49362954141947557,0.46344055756878205,0.0,0.06931681925994039
LC,North America,Americas,D3,,6,0.2,0.29855512752952407,0.49362954141947557,0.46344055756878205,0.29270489599756594,0.06931681925994039
LC,North America,Americas,D0,0.0,12,0.2,0.4175020662116019,0.49362954141947557,0.4175020662116019,0.0,0.08889105559503292
LC,North America,Americas,D1,500.0,12,0.2,0.4175020662116019,0.49362954141947557,0.4175020662116019,0.0,0.08889105559503292
LC,North America,Americas,D2,3000.0,12,0.2,0.4175020662116019,0.49362954141947557,0.4175020662116019,0.0,0.08889105559503292
LC,North America,Americas,D3,,12,0.2,0.2572063539974338,0.49362954141947557,0.4175020662116019,0.26753094043013426,0.08889105559503292
LC,North America,Americas,D0,0.0,24,0.2,0.41101422873559273,0.49362954141947557,0.41101422873559273,0.0,0.08467467182740945
LC,North America,Americas,D1,500.0,24,0.2,0.41101422873559273,0.49362954141947557,0.41101422873559273,0.0,0.08467467182740945
LC,North America,Americas,D2,3000.0,24,0.2,0.41101422873559273,0.49362954141947557,0.41101422873559273,0.0,0.08467467182740945
LC,North America,Americas,D3,,24,0.2,0.2571247618260992,0.49362954141947557,0.41101422873559273,0.26242269414016767,0.08467467182740945
LC,North America,Americas,D0,0.0,168,0.2,0.4110142287355926,0.49362954141947557,0.4110142287355926,0.0,0.08830585201806689
LC,North America,Americas,D1,500.0,168,0.2,0.4110142287355926,0.49362954141947557,0.4110142287355926,0.0,0.08830585201806689
LC,North America,Americas,D2,3000.0,168,0.2,0.4110142287355926,0.49362954141947557,0.4110142287355926,0.0,0.08830585201806689
LC,North America,Americas,D3,,168,0.2,0.25869735021120893,0.49362954141947557,0.4110142287355926,0.2602285999948106,0.08830585201806689
LK,Asia-Pacific,Asia,D0,0.0,0,0.2,0.2813254557897936,0.2813254557897936,0.2813254557897936,0.0,0.0
