country,region,continent,tau_ms,phi,reach_km,uncovered_share,uncovered_share_baseline,migrated_share
MY,Asia-Pacific,Asia,150,0.8,6714,0.42047469837685625,0.5302750662268187,0.23410770914484116
MY,Asia-Pacific,Asia,150,1.0,6714,0.40614772466623705,0.5302750662268187,0.2588399964888102
MY,Asia-Pacific,Asia,200,0.0,10286,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,200,0.2,10286,0.4804523134879151,0.5302750662268187,0.11781895428441182
MY,Asia-Pacific,Asia,200,0.4,10286,0.42411593665249103,0.5302750662268187,0.2276558540735628
MY,Asia-Pacific,Asia,200,0.6,10286,0.36157915078028385,0.5302750662268187,0.3299305179092525
MY,Asia-Pacific,Asia,200,0.8,10286,0.29516482900687524,0.5302750662268187,0.4227223967953194
MY,Asia-Pacific,Asia,200,1.0,10286,0.23160648730874644,0.5302750662268187,0.503730990478789
MY,Asia-Pacific,Asia,300,0.0,17429,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,300,0.2,17429,0.47948036452464604,0.5302750662268187,0.11990004640217569
MY,Asia-Pacific,Asia,300,0.4,17429,0.42090601502519365,0.5302750662268187,0.2333464510345944
MY,Asia-Pacific,Asia,300,0.6,17429,0.3543319650458378,0.5302750662268187,0.34077596460703724
MY,Asia-Pacific,Asia,300,0.8,17429,0.2816403297346671,0.5302750662268187,0.4403938844447377
MY,Asia-Pacific,Asia,300,1.0,17429,0.2107488399595484,0.5302750662268187,0.5302719288883537
MY,Asia-Pacific,Asia,500,0.0,31714,0.5302750662268187,0.5302750662268187,0.0
MY,Asia-Pacific,Asia,500,0.2,31714,0.47948036452464604,0.5302750662268187,0.11990004640217569
MY,Asia-Pacific,Asia,500,0.4,31714,0.42090601502519365,0.5302750662268187,0.2333464510345944
MY,Asia-Pacific,Asia,500,0.6,31714,0.3543319650458378,0.5302750662268187,0.34077596460703724
MY,Asia-Pacific,Asia,500,0.8,31714,0.2816403297346671,0.5302750662268187,0.4403938844447377
MY,Asia-Pacific,Asia,500,1.0,31714,0.2107488399595484,0.5302750662268187,0.5302719288883537
NE,Africa/MENA,EurAfrMENA,50,0.0,0,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,50,0.2,0,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,50,0.4,0,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,50,0.6,0,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,50,0.8,0,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,50,1.0,0,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,100,0.0,3143,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,100,0.2,3143,0.5203223495545463,0.5304463362936619,0.025934010314709835
NE,Africa/MENA,EurAfrMENA,100,0.4,3143,0.5128422545354985,0.5304463362936619,0.044475955543975834
NE,Africa/MENA,EurAfrMENA,100,0.6,3143,0.5073431877111823,0.5304463362936619,0.05778536744796729
NE,Africa/MENA,EurAfrMENA,100,0.8,3143,0.5029362184806034,0.5304463362936619,0.06825484245011534
NE,Africa/MENA,EurAfrMENA,100,1.0,3143,0.49930225210583207,0.5304463362936619,0.07675017396896369
NE,Africa/MENA,EurAfrMENA,150,0.0,6714,0.5304463362936619,0.5304463362936619,0.0
NE,Africa/MENA,EurAfrMENA,150,0.2,6714,0.4822918289049504,0.5304463362936619,0.11500223024078993
NE,Africa/MENA,EurAfrMENA,150,0.4,6714,0.4290581352626492,0.5304463362936619,0.22059989874117922
