country,region,continent,dist_ring,dist_km,grace_h,phi,uncovered_share,uncovered_share_baseline,uncovered_share_temporal_only,migrated_share,deferred_share
CH,Europe,EurAfrMENA,D0,0.0,3,0.4,0.4784928712322701,0.517883765909733,0.4784928712322701,0.0,0.0918279582177801
CH,Europe,EurAfrMENA,D1,500.0,3,0.4,0.45267528840379817,0.517883765909733,0.4784928712322701,0.07003274772981344,0.0918279582177801
CH,Europe,EurAfrMENA,D2,3000.0,3,0.4,0.36735221207579766,0.517883765909733,0.4784928712322701,0.2648575145757876,0.0918279582177801
CH,Europe,EurAfrMENA,D3,,3,0.4,0.3447579480196127,0.517883765909733,0.4784928712322701,0.30883364226226634,0.0918279582177801
CH,Europe,EurAfrMENA,D0,0.0,6,0.4,0.4652849813744353,0.517883765909733,0.4652849813744353,0.0,0.1329215097711362
CH,Europe,EurAfrMENA,D1,500.0,6,0.4,0.4357116642540017,0.517883765909733,0.4652849813744353,0.07882528377596607,0.1329215097711362
CH,Europe,EurAfrMENA,D2,3000.0,6,0.4,0.35431693114758644,0.517883765909733,0.4652849813744353,0.26225993974036854,0.1329215097711362
CH,Europe,EurAfrMENA,D3,,6,0.4,0.3361689661137442,0.517883765909733,0.4652849813744353,0.29758519440701214,0.1329215097711362
CH,Europe,EurAfrMENA,D0,0.0,12,0.4,0.41913492747470893,0.517883765909733,0.41913492747470893,0.0,0.15303692193834978
CH,Europe,EurAfrMENA,D1,500.0,12,0.4,0.3909103436846893,0.517883765909733,0.41913492747470893,0.06861645694645653,0.15303692193834978
CH,Europe,EurAfrMENA,D2,3000.0,12,0.4,0.3064424991332956,0.517883765909733,0.41913492747470893,0.24464249540918304,0.15303692193834978
CH,Europe,EurAfrMENA,D3,,12,0.4,0.29098086679368895,0.517883765909733,0.41913492747470893,0.27318272054028775,0.15303692193834978
CH,Europe,EurAfrMENA,D0,0.0,24,0.4,0.4049156374577858,0.517883765909733,0.4049156374577858,0.0,0.11781622674338965
CH,Europe,EurAfrMENA,D1,500.0,24,0.4,0.38090857255271615,0.517883765909733,0.4049156374577858,0.058124920832467675,0.11781622674338965
CH,Europe,EurAfrMENA,D2,3000.0,24,0.4,0.3006592449261039,0.517883765909733,0.4049156374577858,0.22768508840813798,0.11781622674338965
CH,Europe,EurAfrMENA,D3,,24,0.4,0.2805963180520994,0.517883765909733,0.4049156374577858,0.2655421964691728,0.11781622674338965
CH,Europe,EurAfrMENA,D0,0.0,168,0.4,0.4003040970850481,0.517883765909733,0.4003040970850481,0.0,0.12695716144832628
CH,Europe,EurAfrMENA,D1,500.0,168,0.4,0.37652255481466695,0.517883765909733,0.4003040970850481,0.05724915697877028,0.12695716144832628
CH,Europe,EurAfrMENA,D2,3000.0,168,0.4,0.29862163942086356,0.517883765909733,0.4003040970850481,0.22175726933807338,0.12695716144832628
CH,Europe,EurAfrMENA,D3,,168,0.4,0.2788304119978326,0.517883765909733,0.4003040970850481,0.2592815019052472,0.12695716144832628
CL,Latin America,Americas,D0,0.0,0,0.4,0.29787078298388703,0.29787078298388703,0.29787078298388703,0.0,0.0
CL,Latin America,Americas,D1,500.0,0,0.4,0.29787078298388703,0.29787078298388703,0.29787078298388703,0.0,0.0
CL,Latin America,Americas,D2,3000.0,0,0.4,0.29787078298388703,0.29787078298388703,0.29787078298388703,0.0,0.0
CL,Latin America,Americas,D3,,0,0.4,0.18540173171271307,0.29787078298388703,0.29787078298388703,0.22842253684817382,0.0
CL,Latin America,Americas,D0,0.0,1,0.4,0.2807058242345832,0.29787078298388703,0.2807058242345832,0.0,0.03313129805301253
CL,Latin America,Americas,D1,500.0,1,0.4,0.2807058242345832,0.29787078298388703,0.2807058242345832,0.0,0.03313129805301253
