country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,top2_label,top2_weight,region,continent,top3_label,top3_weight
RU,L0,W3,L0_W3,0.2321131193955237,2,2,0.2805034577691956,RU:WIND,0.5726670852940727,RU:PV,0.42733291470592627,Europe,EurAfrMENA,,
RU,L1,W0,L1_W0,0.192221305523385,52,21,0.0,ES:WIND,0.12698164563681538,FI:WIND,0.10840473858178483,Europe,EurAfrMENA,PT:PV,0.10350560739401861
RU,L1,W1,L1_W1,0.17101338775503847,52,21,0.05912386333358222,ES:WIND,0.12656261802397378,FI:WIND,0.10937263946354255,Europe,EurAfrMENA,PT:PV,0.10787779319174136
RU,L1,W2,L1_W2,0.1398639497229666,52,22,0.14523530831570491,ES:WIND,0.12175783723812697,FI:WIND,0.11342819070884229,Europe,EurAfrMENA,PT:PV,0.10831425719274694
RU,L1,W3,L1_W3,0.1236655074618354,52,24,0.1901670419370921,ES:WIND,0.12103582570015409,FI:WIND,0.12058351317582199,Europe,EurAfrMENA,PT:PV,0.10353003826367041
RU,L2,W0,L2_W0,0.16779324703256682,94,29,0.0,CV:PV,0.21929210641020977,FI:WIND,0.0718380907675524,Europe,EurAfrMENA,ZM:WIND,0.06725999049424781
RU,L2,W1,L2_W1,0.1485329417514852,94,28,0.061985228509395196,CV:PV,0.21733744830723642,FI:WIND,0.07240360224592236,Europe,EurAfrMENA,ZM:WIND,0.07028278104137788
RU,L2,W2,L2_W2,0.12313991329717087,94,29,0.1416300980249948,CV:PV,0.21745758489561007,FI:WIND,0.078905661932998,Europe,EurAfrMENA,ZM:WIND,0.07857683806938036
RU,L2,W3,L2_W3,0.11429146333692108,94,27,0.16765472149474211,CV:PV,0.22386041980973231,ZM:WIND,0.08366963271194268,Europe,EurAfrMENA,FI:WIND,0.08251930063514366
RU,L3,W0,L3_W0,0.13700935101061698,210,44,0.0,MX:PV,0.14481140882400537,BO:PV,0.07288019908557662,Europe,EurAfrMENA,MG:PV,0.053916627838538234
RU,L3,W1,L3_W1,0.12000578564120476,210,42,0.066456955815817,MX:PV,0.15423515951185598,BO:PV,0.060825549474512824,Europe,EurAfrMENA,OM:PV,0.05228488537982657
