parameter,variant,country,corner,uncovered_pct,lcoe_elec,lcoe_gen,lcoe_store,lcoe_anc
P3_gamma,stylized_3.0,EE,national,29.483926451068715,123.59987186794781,65.6818019242951,54.61806994365272,3.2999999999999834
P3_gamma,stylized_3.0,EE,global,15.360985257792867,115.11854866571267,66.01171115496814,45.80683751074456,3.2999999999999834
P3_gamma,stylized_3.0,EG,national,26.3928006261529,91.46730248441229,36.02060493838969,52.14669754602257,3.30000000000001
P3_gamma,stylized_3.0,EG,global,14.24645993064848,77.59305865319087,36.045430672092685,38.24762798109818,3.30000000000001
P3_gamma,stylized_3.0,ES,national,25.78377235723121,111.52451725264625,70.35926617519675,37.8652510774495,3.2999999999999914
P3_gamma,stylized_3.0,ES,global,12.799759078742829,105.06215399561992,70.5559914905092,31.20616250511072,3.2999999999999927
P3_gamma,stylized_3.0,ET,national,27.94666166816529,107.83244904214867,55.881448205139655,48.65100083700899,3.300000000000014
P3_gamma,stylized_3.0,ET,global,14.272479478433992,96.39976860068114,55.923773476884364,37.17599512379676,3.3000000000000123
P3_gamma,stylized_3.0,FI,national,31.064814879552415,132.49629678616557,66.22034737203327,62.975949414132245,3.3000000000000296
P3_gamma,stylized_3.0,FI,global,16.963371794207813,119.88782304161032,66.49539473178733,50.09242830982296,3.3000000000000296
P3_gamma,stylized_3.0,FJ,national,33.35572701974692,137.5164024602302,93.0213437888002,41.19505867143002,3.300000000000002
P3_gamma,stylized_3.0,FJ,global,13.33544352215087,124.70847252315087,91.02557788879615,30.382894634354727,3.300000000000002
P3_gamma,stylized_3.0,FR,national,23.1971120385502,105.84909653988888,65.09345082327775,37.4556457166111,3.300000000000009
P3_gamma,stylized_3.0,FR,global,11.785986569114401,98.10508718902152,65.81242672543087,28.992660463590653,3.3000000000000087
P3_gamma,stylized_3.0,GB,national,22.909128081758727,99.29489311366004,57.785749390819795,38.20914372284024,3.3000000000000007
P3_gamma,stylized_3.0,GB,global,11.55815538577992,90.80932574351479,58.78264984161116,28.72667590190364,3.299999999999999
P3_gamma,stylized_3.0,GF,national,31.22387981895573,175.46883718598335,131.00046387299676,41.16837331298658,3.3000000000000105
P3_gamma,stylized_3.0,GF,global,15.307932824852646,167.43600025352103,128.3420768643746,35.793923389146435,3.3000000000000096
P3_gamma,stylized_3.0,GH,national,28.349802163509143,163.73586569470294,123.65831574364978,36.77754995105311,3.30000000000002
P3_gamma,stylized_3.0,GH,global,12.99249965579273,152.27365959603503,120.21842316655759,28.755236429477424,3.300000000000018
P3_gamma,stylized_3.0,GR,national,39.764660150123845,141.49290616732063,89.13744659060836,49.05545957671225,3.3000000000000047
