year,perturbation,scenario,mean_uncovered_share,global_annual_unmet_gwh,global_storage_cost_musd_yr_mid,global_storage_cost_usd_yr_low,global_fleet_gw,ai_share,capex_year_used
2030,P0_baseline,L2_W1,0.1552191437350029,297778.61410697893,37454.40101907878,25098.9768487091,219.0,0.44,2030
2030,P0_baseline,L2_W2,0.12603506917848112,241790.7181147653,30412.279760654612,20379.904226483577,219.0,0.44,2030
2030,P0_baseline,L2_W3,0.11026837533171702,211543.26197137916,26607.774337728635,17830.425635645446,219.0,0.44,2030
2030,P0_baseline,L3_W0,0.08309120059047152,159405.4828607842,20049.918284470157,13435.869247624218,219.0,0.44,2030
2030,P0_baseline,L3_W1,0.0664104943945896,127404.54886635648,16024.861554298897,10738.594616697708,219.0,0.44,2030
2030,P0_baseline,L3_W2,0.05633517435485547,108075.65188932893,13593.685424323476,9109.412685038875,219.0,0.44,2030
2030,P0_baseline,L3_W3,0.05536684574504488,106217.9715511239,13360.02759580194,8952.83369114189,219.0,0.44,2030
2030,P1_flatten,L0_W0,0.4033839277474352,773867.8623477896,97336.59799268995,65227.28846487687,219.0,0.44,2030
2030,P1_flatten,L0_W1,0.3790013454691212,727091.3412017808,91453.07749027196,61284.618421805746,219.0,0.44,2030
2030,P1_flatten,L0_W2,0.32909866369471613,631356.0403784913,79411.55342222912,53215.34149883402,219.0,0.44,2030
2030,P1_flatten,L0_W3,0.25321639598403534,485780.46271161275,61101.15164649753,40945.15861630578,219.0,0.44,2030
2030,P1_flatten,L1_W0,0.19502484576904447,374143.46511716564,47059.52246836523,31535.569460666167,219.0,0.44,2030
2030,P1_flatten,L1_W1,0.17243274232122377,330801.87017872854,41608.0447573181,27882.42032096619,219.0,0.44,2030
2030,P1_flatten,L1_W2,0.13910876941647074,266871.8275993341,33566.96545040994,22493.92503412618,219.0,0.44,2030
2030,P1_flatten,L1_W3,0.11334681275686916,217449.05946528807,27350.601717517795,18328.209786523155,219.0,0.44,2030
