country,local_hour,demand_orig,demand_migrated,portfolio_w0_fit,portfolio_w3_fit
BH,5,0.20645922399321792,0.18559391560482247,0.20788910042364142,0.18912267822515572
BH,6,0.21430480719832923,0.19652068222155403,0.21746215422678555,0.19753716064195326
BH,7,0.24984382458214327,0.22889240406256375,0.2520427809111241,0.22921054334754282
BH,8,0.3109554922682418,0.2746460905924928,0.2995799920147737,0.2722885774539426
BH,9,0.35962199328704075,0.31982942038271966,0.3492273031587265,0.3167655841114819
BH,10,0.39978113910461033,0.36119483394967633,0.395271464671945,0.35815404258013467
BH,11,0.4288443713314669,0.39742117258582116,0.44025504897013557,0.3998259185090331
BH,12,0.45845671067613514,0.4277887676369465,0.4756940258016281,0.4337245041474353
BH,13,0.4851538601007153,0.4523890695897997,0.49635432024179504,0.45401066409158725
BH,14,0.5062799537006881,0.4642506598980841,0.5025104998276061,0.460494296153607
BH,15,0.5139882215150418,0.46109622385143717,0.4942165287338965,0.4528099882126201
BH,16,0.5117338046118175,0.45589656440011933,0.48653327923798134,0.4472638615016566
BH,17,0.4955952696407617,0.4542463077090087,0.4910336431328086,0.4530400744623743
BH,18,0.4985131894686461,0.46844966630302287,0.5119192855513995,0.4736381959961251
BH,19,0.5272204253959039,0.4951352604369104,0.54080230477834,0.5001494097004684
BH,20,0.5382600713748134,0.5044747248450953,0.5550311938895904,0.5114938583779366
BH,21,0.5492770008557156,0.5066992847326688,0.5486189767069037,0.5035928468035302
BH,22,0.5484650121142122,0.4970866405299183,0.5322131962496544,0.48708326892795356
BH,23,0.5183616627795756,0.4689132363545877,0.500712050781837,0.45792889778236645
BI,0,0.2541049111615083,0.2299428442625383,0.24633918120477055,0.222849364013345
BI,1,0.19227476323089573,0.1759712160991856,0.1941117186970164,0.1741520083039046
BI,2,0.1464700438752175,0.13846336194458678,0.16391663996631742,0.14681715311088006
BI,3,0.12101057297257256,0.11613189043321064,0.14784035488354574,0.1323134129980983
BI,4,0.12519564187026266,0.11983265601356256,0.15461921962014807,0.13746121580345022
BI,5,0.16251899880566725,0.1543893375336345,0.1891722629241537,0.16831217834682047
BI,6,0.24852849463263044,0.223572431160041,0.24985106494825188,0.22355995281525284
BI,7,0.3469504688395442,0.3011284303170575,0.32007447784724447,0.2876563909165483
BI,8,0.4326930256919085,0.3665871180313067,0.38492110407761254,0.34722872025421303
BI,9,0.46058573450092016,0.40992171157038854,0.4390793483377865,0.39785701731767
BI,10,0.47276390427776416,0.43465639581692106,0.4762175192407115,0.43468699027512836
BI,11,0.47443110508283276,0.4460434369383145,0.49596811672664204,0.4550527817949056
BI,12,0.4623159579680978,0.44218605241255304,0.4997755277215754,0.4577563964599902
BI,13,0.498364444570179,0.44417369031408777,0.48769742970887614,0.44436049109942233
BI,14,0.4712524223024451,0.4283639077698904,0.4647760118572611,0.42279578192446254
BI,15,0.4814455762842722,0.4230935077835545,0.4526514414674923,0.41112398149596446
BI,16,0.4662307256078145,0.4179911907716618,0.4514089441239073,0.4097345269105848
BI,17,0.46429023961919214,0.41916381960375204,0.45449582668790817,0.41291605420117117
BI,18,0.4406586600106071,0.40815250578860873,0.4569565688480891,0.4150331843044985
BI,19,0.45730279743778984,0.4114083601615537,0.44760947336463464,0.4063499582492159
BI,20,0.40266048434023005,0.37710541889803684,0.42668913323738905,0.3874333145068169
BI,21,0.38263012421001236,0.35232600435298467,0.39433070500095596,0.3589104549826217
BI,22,0.3621887197713727,0.3248973243618374,0.351347235957804,0.3210054973950492
BI,23,0.32426348358556895,0.2845207246592415,0.3012819941992123,0.27465650951849596
BO,0,0.3020113126845843,0.2857397770971121,0.31921302241096,0.28325565944640846
BO,1,0.20654920149154404,0.20262088415071214,0.26432002628817935,0.23524744810453443
BO,2,0.151786238760349,0.15057602571871442,0.2156275096914579,0.19265453705443614
BO,3,0.12661170369772487,0.12576783085861853,0.17890279229708203,0.1588951047913742
BO,4,0.13906209497388036,0.13717409136367767,0.1751691969036683,0.1547667891589719
BO,5,0.2056186808534481,0.188770687583493,0.20681256055516112,0.1845961733185091
BO,6,0.29188838430060116,0.2586230416673862,0.27047851361471964,0.24478546965464268
BO,7,0.38606206394455606,0.336256561345892,0.3510293096199057,0.3213239425524779
BO,8,0.45884885721507407,0.4050323693509768,0.42746179996804945,0.3949593809713101
BO,9,0.4975149040440373,0.45682637833334055,0.48863112327041713,0.4541215056350423
BO,10,0.516983315387888,0.4854627524221924,0.5242146322524449,0.4875365054425509
BO,11,0.5015021552478587,0.48241953729938747,0.531707374272481,0.4928941429319733
BO,12,0.5015953957699985,0.4809099667700611,0.5265863143887259,0.4868141148261677
BO,13,0.5466962054484077,0.5054903286806034,0.5417168039063448,0.5016931410944192
BO,14,0.5883090596904887,0.5327416502210719,0.563168951938482,0.5220592008090877
BO,15,0.5987921044088717,0.5392707250517469,0.5671254356886267,0.5267060819953748
BO,16,0.5778226812528102,0.5280354650291248,0.5604835047928446,0.5210308799085727
BO,17,0.5615464982468897,0.525980692873116,0.5706259052622127,0.52966857937139
BO,18,0.5759035774858602,0.5412423432129433,0.5910794043166319,0.5459700639634254
BO,19,0.6018910358138587,0.5600193553126073,0.6086385146130145,0.5606827255396872
BO,20,0.6206059820686904,0.5586538916743453,0.5972882590088174,0.5489364644917607
BO,21,0.6017700496945351,0.5237097497730453,0.5502981440670881,0.5033391392995739
BO,22,0.5346686636004516,0.46328841970582746,0.48607653088465286,0.4413953555241728
BO,23,0.4244197342308746,0.3794430245854296,0.40180427030131727,0.36072314419556306
BR,0,0.46943006088533057,0.42404471138905775,0.44492667247163203,0.40707778020846186
BR,1,0.3224115269125942,0.3125683217760463,0.35892263597404983,0.32247840554591295
BR,2,0.23000205986010633,0.2247895548784674,0.2812325611983662,0.24875294649986748
BR,3,0.17403186069574134,0.1711377229873837,0.2343104802372611,0.20761693816830412
BR,4,0.15637754649159236,0.1542640454608664,0.20883729278190738,0.18705310948695997
BR,5,0.18402606091847942,0.1804736026026229,0.216598914721014,0.19576622247550107
BR,6,0.27279045468940655,0.2555620102188334,0.27695011336750613,0.253694445872985
BR,7,0.3726348480646681,0.344228331720974,0.3642547165447226,0.33653290829184485
BR,8,0.4832880339792701,0.43298691176263776,0.4519079130657877,0.4196896807006654
BR,9,0.5538108223830972,0.5051577212993182,0.530169489493352,0.4953514208423809
BR,10,0.603805256538174,0.5613598993373923,0.5936476363925852,0.5585007679736012
BR,11,0.6299392966272467,0.600382582365648,0.6393926542064984,0.6047669439897567
BR,12,0.6472203468021835,0.6244970311461232,0.6683053486333306,0.6326803249042465
BR,13,0.661761327842483,0.6338433927682209,0.6756119789578121,0.6377889012020103
BR,14,0.6814333959227639,0.6293731231378817,0.6580643951266453,0.6183320117534588
BR,15,0.6761884796056746,0.6245660928934691,0.6545755567109077,0.614594952540838
BR,16,0.6762640076071627,0.6332991743722863,0.667265407415142,0.6273628417520758
BR,17,0.6668442070086716,0.6393371293732887,0.6840822791558323,0.645413028718369
BR,18,0.6788902945849346,0.6507864207151297,0.6965428683956861,0.6582954432082585
BR,19,0.6921336290442864,0.6570478245586672,0.6988541146999702,0.6578452414763282
BR,20,0.7124304240207205,0.6564231160280584,0.6866106286949063,0.6424558970518162
BR,21,0.7113507045607141,0.6312080725016959,0.6553049562135754,0.6103526659430911
BR,22,0.6654781888459836,0.5797059697822647,0.6003970586102335,0.5581080054908042
BR,23,0.5465181909050578,0.4962063556109116,0.5222953517276208,0.48273823458970544
BY,0,0.22113574626366822,0.20781890955064428,0.2513777210897405,0.22137889699550956
BY,1,0.1491282012452133,0.1418757131450632,0.18166217962171657,0.16111029847218467
BY,2,0.10726534131803499,0.10130562741332298,0.1293317750006884,0.11414914655567916
BY,3,0.08490861149251357,0.0798021757300553,0.09959289150785407,0.08896535460135135
BY,4,0.08740739764967043,0.08141643438697578,0.09727240818432398,0.0887368151923548
BY,5,0.12460415485810108,0.10646859355696983,0.11835990602053839,0.10865597824450646
BY,6,0.17276576857296527,0.14740946786999126,0.162683298961999,0.14810656503894123
BY,7,0.22996972658501907,0.1992098162686311,0.22128466336431435,0.19824761699955398
BY,8,0.28645557617814515,0.2506995287870936,0.27948685861048317,0.24787246653820455
BY,9,0.32825199263229615,0.29254674129141844,0.32876702985312833,0.2888774900009557
BY,10,0.3550187218853298,0.32075840233650355,0.36366898055442126,0.3181918454075416
BY,11,0.3743215561871638,0.33909074100317826,0.38493587353033815,0.338598144290836
BY,12,0.38435392836411164,0.346939297262252,0.392196774212641,0.34967131162138726
BY,13,0.4021760914712621,0.3497310364910091,0.3899767906957668,0.34810940787773215
BY,14,0.4151745639149125,0.3515911333489194,0.3909587688317068,0.3441151014173615
