year,perturbation,storage_scenario,fleet_model,global_storage_bill_busd,ldes_energy_share,fleet_gw,lambda_inf
2028,P0_baseline,Central,frozen,83.78722987003519,1.0,164.32,0.2368
2028,P0_baseline,Central,growing_low,69.10202891910399,1.0,135.52,0.2368
2028,P0_baseline,Central,growing_central,83.78722987003519,1.0,164.32,0.2368
2028,P0_baseline,Central,growing_high,110.91405940439417,1.0,217.51999999999998,0.2368
2028,P0_baseline,Optimistic,frozen,73.18936085676211,1.0,164.32,0.2368
2028,P0_baseline,Optimistic,growing_low,60.36162477670643,1.0,135.52,0.2368
2028,P0_baseline,Optimistic,growing_central,73.18936085676211,1.0,164.32,0.2368
2028,P0_baseline,Optimistic,growing_high,96.88504000464272,1.0,217.51999999999998,0.2368
2028,P1_flatten,Conservative,frozen,104.73623983446154,1.0,164.32,0.2368
2028,P1_flatten,Conservative,growing_low,86.37935261907393,1.0,135.52,0.2368
2028,P1_flatten,Conservative,growing_central,104.73623983446154,1.0,164.32,0.2368
2028,P1_flatten,Conservative,growing_high,138.64548982955253,1.0,217.51999999999998,0.2368
2028,P1_flatten,Central,frozen,77.80497192390854,1.0,164.32,0.2368
2028,P1_flatten,Central,growing_low,64.168267983983,1.0,135.52,0.2368
2028,P1_flatten,Central,growing_central,77.80497192390854,1.0,164.32,0.2368
2028,P1_flatten,Central,growing_high,102.99499447960434,1.0,217.51999999999998,0.2368
2028,P1_flatten,Optimistic,frozen,67.15772647089915,1.0,164.32,0.2368
2028,P1_flatten,Optimistic,growing_low,55.38714150034234,1.0,135.52,0.2368
2028,P1_flatten,Optimistic,growing_central,67.15772647089915,1.0,164.32,0.2368
2028,P1_flatten,Optimistic,growing_high,88.90061259706658,1.0,217.51999999999998,0.2368
2028,P2_sharpen,Conservative,frozen,111.61755559327295,1.0,164.32,0.2368
2028,P2_sharpen,Conservative,growing_low,92.05459550876552,1.0,135.52,0.2368
2028,P2_sharpen,Conservative,growing_central,111.61755559327295,1.0,164.32,0.2368
2028,P2_sharpen,Conservative,growing_high,147.75469019382138,1.0,217.51999999999998,0.2368
2028,P2_sharpen,Central,frozen,85.91785593706867,1.0,164.32,0.2368
2028,P2_sharpen,Central,growing_low,70.85922490622897,1.0,135.52,0.2368
2028,P2_sharpen,Central,growing_central,85.91785593706867,1.0,164.32,0.2368
2028,P2_sharpen,Central,growing_high,113.73449381348085,1.0,217.51999999999998,0.2368
2028,P2_sharpen,Optimistic,frozen,75.75750956135995,1.0,164.32,0.2368
2028,P2_sharpen,Optimistic,growing_low,62.47965978429589,1.0,135.52,0.2368
2028,P2_sharpen,Optimistic,growing_central,75.75750956135995,1.0,164.32,0.2368
2028,P2_sharpen,Optimistic,growing_high,100.28464873288107,1.0,217.51999999999998,0.2368
2028,P2_emp,Conservative,frozen,106.80427348944936,1.0,164.32,0.2368
2028,P2_emp,Conservative,growing_low,88.08492662664419,1.0,135.52,0.2368
2028,P2_emp,Conservative,growing_central,106.80427348944936,1.0,164.32,0.2368
2028,P2_emp,Conservative,growing_high,141.38306699990883,1.0,217.51999999999998,0.2368
2028,P2_emp,Central,frozen,80.05332271053824,1.0,164.32,0.2368
2028,P2_emp,Central,growing_low,66.02255534160261,1.0,135.52,0.2368
2028,P2_emp,Central,growing_central,80.05332271053824,1.0,164.32,0.2368
2028,P2_emp,Central,growing_high,105.97126798926652,1.0,217.51999999999998,0.2368
2028,P2_emp,Optimistic,frozen,69.47736542585243,1.0,164.32,0.2368
2028,P2_emp,Optimistic,growing_low,57.300222507981516,1.0,135.52,0.2368
2028,P2_emp,Optimistic,growing_central,69.47736542585243,1.0,164.32,0.2368
2028,P2_emp,Optimistic,growing_high,91.97125442691956,1.0,217.51999999999998,0.2368
2028,P3_burst,Conservative,frozen,112.95037156192448,1.0,164.32,0.2368
2028,P3_burst,Conservative,growing_low,93.15381179449857,1.0,135.52,0.2368
2028,P3_burst,Conservative,growing_central,112.95037156192448,1.0,164.32,0.2368
2028,P3_burst,Conservative,growing_high,149.519016687864,1.0,217.51999999999998,0.2368
2028,P3_burst,Central,frozen,84.30211838359068,1.0,164.32,0.2368
2028,P3_burst,Central,growing_low,69.52667407098471,1.0,135.52,0.2368
2028,P3_burst,Central,growing_central,84.30211838359068,1.0,164.32,0.2368
2028,P3_burst,Central,growing_high,111.59564746104334,1.0,217.51999999999998,0.2368
2028,P3_burst,Optimistic,frozen,72.97606480145869,1.0,164.32,0.2368
2028,P3_burst,Optimistic,growing_low,60.18571264540945,1.0,135.52,0.2368
2028,P3_burst,Optimistic,growing_central,72.97606480145869,1.0,164.32,0.2368
2028,P3_burst,Optimistic,growing_high,96.60268753416074,1.0,217.51999999999998,0.2368
2028,P_mix,Conservative,frozen,110.18367173868086,1.0,164.32,0.2368
2028,P_mix,Conservative,growing_low,90.87202528009999,1.0,135.52,0.2368
2028,P_mix,Conservative,growing_central,110.18367173868086,1.0,164.32,0.2368
2028,P_mix,Conservative,growing_high,145.85657422467054,1.0,217.51999999999998,0.2368
2028,P_mix,Central,frozen,83.95575398641205,1.0,164.32,0.2368
2028,P_mix,Central,growing_low,69.2410161893778,1.0,135.52,0.2368
2028,P_mix,Central,growing_central,83.95575398641205,1.0,164.32,0.2368
2028,P_mix,Central,growing_high,111.13714463926696,1.0,217.51999999999998,0.2368
2028,P_mix,Optimistic,frozen,73.58657720063141,1.0,164.32,0.2368
2028,P_mix,Optimistic,growing_low,60.68922189769698,1.0,135.52,0.2368
2028,P_mix,Optimistic,growing_central,73.58657720063141,1.0,164.32,0.2368
2028,P_mix,Optimistic,growing_high,97.4108585241075,1.0,217.51999999999998,0.2368
2029,P0_baseline,Conservative,frozen,124.63169725687715,1.0,191.65999999999997,0.2724
2029,P0_baseline,Conservative,growing_low,99.66113910878113,1.0,153.26,0.2724
2029,P0_baseline,Conservative,growing_central,124.63169725687715,1.0,191.65999999999997,0.2724
2029,P0_baseline,Conservative,growing_high,167.61487156909453,1.0,257.76,0.2724
2029,P0_baseline,Central,frozen,92.63807888537384,1.0,191.65999999999997,0.2724
2029,P0_baseline,Central,growing_low,74.0775955857894,1.0,153.26,0.2724
2029,P0_baseline,Central,growing_central,92.63807888537384,1.0,191.65999999999997,0.2724
2029,P0_baseline,Central,growing_high,124.58724414846063,1.0,257.76,0.2724
2029,P0_baseline,Optimistic,frozen,81.00403584119078,1.0,191.65999999999997,0.2724
2029,P0_baseline,Optimistic,growing_low,64.774488850156,1.0,153.26,0.2724
2029,P0_baseline,Optimistic,growing_central,81.00403584119078,1.0,191.65999999999997,0.2724
2029,P0_baseline,Optimistic,growing_high,108.94083417732098,1.0,257.76,0.2724
2029,P1_flatten,Conservative,frozen,116.2263576428192,1.0,191.65999999999997,0.2724
2029,P1_flatten,Conservative,growing_low,92.93984958957775,1.0,153.26,0.2724
2029,P1_flatten,Conservative,growing_central,116.2263576428192,1.0,191.65999999999997,0.2724
2029,P1_flatten,Conservative,growing_high,156.31068530738327,1.0,257.76,0.2724
2029,P1_flatten,Central,frozen,84.35763562171576,1.0,191.65999999999997,0.2724
2029,P1_flatten,Central,growing_low,67.45617883431157,1.0,153.26,0.2724
2029,P1_flatten,Central,growing_central,84.35763562171576,1.0,191.65999999999997,0.2724
2029,P1_flatten,Central,growing_high,113.45102868545057,1.0,257.76,0.2724
2029,P1_flatten,Optimistic,frozen,72.76900943222367,1.0,191.65999999999997,0.2724
2029,P1_flatten,Optimistic,growing_low,58.18938946876029,1.0,153.26,0.2724
2029,P1_flatten,Optimistic,growing_central,72.76900943222367,1.0,191.65999999999997,0.2724
2029,P1_flatten,Optimistic,growing_high,97.86569900474785,1.0,257.76,0.2724
2029,P2_sharpen,Conservative,frozen,126.60919349776417,1.0,191.65999999999997,0.2724
