country,power_scope,workload_scenario,scenario,uncovered_share,n_supply_basis,n_active_basis,migrated_share,top1_label,top1_weight,region,continent,top2_label,top2_weight,top3_label,top3_weight
MU,L3,W3,L3_W3,0.05406710770726509,210,67,0.07971041702942443,IN:PV,0.10264853505225977,Africa/MENA,EurAfrMENA,CL:PV,0.09481067640576667,ET:PV,0.05952539772826823
MX,L0,W0,L0_W0,0.24378976900991844,1,1,0.0,MX:VRE,1.0,North America,Americas,,,,
MX,L0,W1,L0_W1,0.21972727994721564,1,1,0.0489029515334917,MX:VRE,1.0,North America,Americas,,,,
MX,L0,W2,L0_W2,0.17973919850783904,1,1,0.12710437920852094,MX:VRE,1.0,North America,Americas,,,,
MX,L0,W3,L0_W3,0.14373431111410825,1,1,0.19550678498169408,MX:VRE,1.0,North America,Americas,,,,
MX,L1,W0,L1_W0,0.23959092600196086,4,3,0.0,MX:WIND,0.5929521779173802,North America,Americas,MX:PV,0.36603183626417835,GT:WIND,0.04101598581844604
MX,L1,W1,L1_W1,0.21614709504186075,4,3,0.049180475927071796,MX:WIND,0.5856256518594376,North America,Americas,MX:PV,0.3739511390441884,GT:WIND,0.0404232090963789
MX,L1,W2,L1_W2,0.17851460000811248,4,3,0.12464709351185675,MX:WIND,0.570853406005044,North America,Americas,MX:PV,0.3865134956257717,GT:WIND,0.042633098369189215
MX,L1,W3,L1_W3,0.1429060970454501,4,3,0.19312446356138438,MX:WIND,0.5726388705673933,North America,Americas,MX:PV,0.38848021229234386,GT:WIND,0.03888091714026779
MX,L2,W0,L2_W0,0.15723336233079824,20,8,0.0,US:WIND,0.474463155098583,North America,Americas,US:PV,0.23509907279002537,MX:WIND,0.16955822397527393
MX,L2,W1,L2_W1,0.13569783436668018,20,8,0.05245579088490715,US:WIND,0.4678940271482498,North America,Americas,US:PV,0.24185421760401402,MX:WIND,0.1677687455075936
MX,L2,W2,L2_W2,0.10829113022759343,20,9,0.12177567430985162,US:WIND,0.44708265715379114,North America,Americas,US:PV,0.25498012263717607,MX:WIND,0.1695623612295984
MX,L2,W3,L2_W3,0.0956126057495995,20,9,0.1552688071776096,US:WIND,0.4263835338158808,North America,Americas,US:PV,0.2484160005989571,MX:WIND,0.18111597313285488
MX,L3,W0,L3_W0,0.04499345040356233,210,72,0.0,AU:PV,0.1302794220438768,North America,Americas,US:PV,0.11161664546484926,BR:WIND,0.06395836463204611
MX,L3,W1,L3_W1,0.030147390482291626,210,74,0.03594291133419871,AU:PV,0.1322139359412293,North America,Americas,US:PV,0.11628576165742888,JP:PV,0.06514391753471495
MX,L3,W2,L3_W2,0.026834985585270022,210,74,0.044942115025795114,AU:PV,0.134251309655253,North America,Americas,US:PV,0.11730927917531402,JP:PV,0.06674068435174449
MX,L3,W3,L3_W3,0.026818023703262528,210,73,0.044984654265911056,AU:PV,0.13424269886644974,North America,Americas,US:PV,0.11720326621530719,JP:PV,0.06676576537362551
MY,L0,W0,L0_W0,0.5302750663779531,1,1,0.0,MY:VRE,0.9999999999999999,Asia-Pacific,Asia,,,,
MY,L0,W1,L0_W1,0.5057787883712809,1,1,0.060771340579763015,MY:VRE,1.0,Asia-Pacific,Asia,,,,
MY,L0,W2,L0_W2,0.4512075385860682,1,1,0.17738675252731687,MY:VRE,0.9999999999999999,Asia-Pacific,Asia,,,,
MY,L0,W3,L0_W3,0.35433196507274156,1,1,0.34077596472009897,MY:VRE,0.9999999999999998,Asia-Pacific,Asia,,,,
MY,L1,W0,L1_W0,0.26752790927858094,8,6,0.0,VN:WIND,0.24484096868161256,Asia-Pacific,Asia,KH:WIND,0.19517885235619903,TH:PV,0.16307013120230218
MY,L1,W1,L1_W1,0.24522397616531638,8,7,0.05771321651662588,VN:WIND,0.24798617855462865,Asia-Pacific,Asia,KH:WIND,0.19190196359468203,TH:PV,0.15825333955386162
MY,L1,W2,L1_W2,0.20866588756012075,8,7,0.15113713131457127,VN:WIND,0.25143511999916307,Asia-Pacific,Asia,KH:WIND,0.1870881647051161,VN:PV,0.17242409319450525
MY,L1,W3,L1_W3,0.17390035647848842,8,7,0.23893680205695264,VN:WIND,0.2508462448468867,Asia-Pacific,Asia,VN:PV,0.20176185407671784,KH:WIND,0.18416750107778795
MY,L2,W0,L2_W0,0.21054576333074526,18,11,0.0,LK:WIND,0.17600604882928716,Asia-Pacific,Asia,PH:WIND,0.16213048746046327,MM:WIND,0.13831868976648504
MY,L2,W1,L2_W1,0.1891954016267505,18,10,0.060188697109663736,LK:WIND,0.16954096748866593,Asia-Pacific,Asia,PH:WIND,0.1624261883962569,MM:WIND,0.14103335142020743
MY,L2,W2,L2_W2,0.15717724136065156,18,10,0.14936330080735846,PH:WIND,0.1606918702437907,Asia-Pacific,Asia,MM:WIND,0.14947414834329154,LK:WIND,0.14912729557450927
MY,L2,W3,L2_W3,0.13699749384412654,18,12,0.20466940668762634,MM:WIND,0.1597321667467864,Asia-Pacific,Asia,PH:WIND,0.1587353797891202,LK:PV,0.1350553101784908
MY,L3,W0,L3_W0,0.1128886319613266,210,42,0.0,CN:PV,0.08420099026334615,Asia-Pacific,Asia,CV:WIND,0.07721359090776642,JP:PV,0.07275582520856706
MY,L3,W1,L3_W1,0.0947504246541585,210,42,0.057383688886830486,CN:PV,0.08444797120017082,Asia-Pacific,Asia,CV:WIND,0.07955293003224961,JP:PV,0.06793327633620799
MY,L3,W2,L3_W2,0.0790914267235696,210,39,0.10822249637554845,CV:WIND,0.08652547398852832,Asia-Pacific,Asia,CN:PV,0.0757071728476844,JP:PV,0.0609968617876758
MY,L3,W3,L3_W3,0.07761526681712819,210,38,0.11288522331188808,CV:WIND,0.08830591435681429,Asia-Pacific,Asia,CN:PV,0.07382839245688189,JP:PV,0.05954043439991299
NE,L0,W0,L0_W0,0.530446336430366,1,1,0.0,NE:VRE,0.9999999999999997,Africa/MENA,EurAfrMENA,,,,
