year,grace_h,dist_ring,lcoe_elec
2040,0,D0,124.67868705196177
2040,0,D1,124.98699623003624
2040,0,D2,124.52877281427583
2040,0,D3,98.52291341681924
2040,6,D0,116.94432699809376
2040,6,D1,116.99901981489214
2040,6,D2,113.5014473046968
2040,6,D3,92.36370992021486
2040,24,D0,119.86510087391511
2040,24,D1,119.80260232212011
2040,24,D2,115.4564421284311
2040,24,D3,90.82156681166511
2040,168,D0,119.10725971314501
2040,168,D1,119.16455444578577
2040,168,D2,113.88368564275592
2040,168,D3,89.66281161492732
2041,0,D0,123.55345891548464
2041,0,D1,123.87163010709757
2041,0,D2,123.47566366686941
2041,0,D3,97.56391403056813
2041,6,D0,115.83949286735486
2041,6,D1,115.90009439799967
2041,6,D2,112.46797766430649
2041,6,D3,91.40978600844697
2041,24,D0,118.80383572964381
2041,24,D1,118.7660989614287
2041,24,D2,114.49050471245863
2041,24,D3,89.92696541195829
2041,168,D0,118.071847802605
2041,168,D1,118.14146733056532
2041,168,D2,112.92946591363469
2041,168,D3,88.79690667296103
2042,0,D0,122.44707290504978
2042,0,D1,122.76721107305212
2042,0,D2,122.42182161656773
2042,0,D3,96.60605926935133
2042,6,D0,114.73153309928483
2042,6,D1,114.8033126400033
2042,6,D2,111.38736181426648
2042,6,D3,90.43664308203508
2042,24,D0,117.75942565428278
2042,24,D1,117.72430477386231
2042,24,D2,113.5111884463464
2042,24,D3,89.02771066503672
2042,168,D0,117.05335763124747
2042,168,D1,117.13007082879166
2042,168,D2,111.96177155745494
2042,168,D3,87.93119665464557
2043,0,D0,121.32710011748526
2043,0,D1,121.66217639496743
2043,0,D2,121.36339474849719
2043,0,D3,95.65132611055007
2043,6,D0,113.6351547958184
2043,6,D1,113.70198845825524
2043,6,D2,110.3329027170177
2043,6,D3,89.45817213199872
2043,24,D0,116.68579805772343
2043,24,D1,116.68520131259461
2043,24,D2,112.51806865556877
2043,24,D3,88.12376620788854
2043,168,D0,116.01708044087928
2043,168,D1,116.10374649753572
2043,168,D2,111.0092075937856
2043,168,D3,87.0488110476795
2044,0,D0,120.20959975007742
2044,0,D1,120.55219734980341
2044,0,D2,120.30069490525838
2044,0,D3,94.68978404818745
2044,6,D0,112.52077253398505
2044,6,D1,112.60246737890682
2044,6,D2,109.26509702279735
2044,6,D3,88.49647889824902
2044,24,D0,115.65013141257715
2044,24,D1,115.65417423341611
2044,24,D2,111.5251390849719
2044,24,D3,87.2200133229438
2044,168,D0,114.9950287462634
2044,168,D1,115.08759925940146
2044,168,D2,110.02445984410187
2044,168,D3,86.17513428875932
2045,0,D0,119.09278249644703
2045,0,D1,119.43973241494353
2045,0,D2,119.2210389202056
2045,0,D3,93.72242419359692
2045,6,D0,111.40251138267915
2045,6,D1,111.48153392278431
2045,6,D2,108.18314526560741
2045,6,D3,87.52538631455187
2045,24,D0,114.59734246626383
2045,24,D1,114.62893166822144
2045,24,D2,110.5124280309012
2045,24,D3,86.3148959765923
2045,168,D0,113.94198449840954
2045,168,D1,114.06066851005359
2045,168,D2,109.00360379435529
2045,168,D3,85.29789927423924
2046,0,D0,117.96855079075974
2046,0,D1,118.3322835174585
2046,0,D2,118.09774948655203
2046,0,D3,92.76205069212372
2046,6,D0,110.27816457357835
2046,6,D1,110.38825435375809
2046,6,D2,107.12626891561105
2046,6,D3,86.5584984197915
2046,24,D0,113.55591981235013
2046,24,D1,113.58705450973663
2046,24,D2,109.44542010894769
2046,24,D3,85.41407612732218
2046,168,D0,112.90811182950824
2046,168,D1,113.02885675736776
2046,168,D2,107.97946372293902
2046,168,D3,84.42376682919098
2047,0,D0,116.85135162619771
2047,0,D1,117.21782505476493
2047,0,D2,116.92158634054452
2047,0,D3,91.78955853660864
2047,6,D0,109.17775134107936
2047,6,D1,109.27616112174202
2047,6,D2,106.04684107946986
2047,6,D3,85.58803039962669
2047,24,D0,112.49132096416518
2047,24,D1,112.53489634588956
2047,24,D2,108.33052597075161
2047,24,D3,84.50817367708383
2047,168,D0,111.85800490627487
2047,168,D1,111.99148245965128
2047,168,D2,106.92029517752658
2047,168,D3,83.53804442921721
2048,0,D0,115.7222870161571
2048,0,D1,116.09266182008807
2048,0,D2,115.70540439479754
2048,0,D3,90.82197239952167
2048,6,D0,108.05083467025882
2048,6,D1,108.17903690290403
2048,6,D2,104.98574556779378
2048,6,D3,84.62421839813344
2048,24,D0,111.41637651754392
2048,24,D1,111.47171360997555
2048,24,D2,107.18602637257686
2048,24,D3,83.59837398723487
2048,168,D0,110.7921637960657
2048,168,D1,110.93073218853351
2048,168,D2,105.80831555286498
2048,168,D3,82.64567806706206
2049,0,D0,114.58691586039791
2049,0,D1,114.96236593486385
2049,0,D2,114.40359454025177
2049,0,D3,89.84458180501187
2049,6,D0,106.92835674888248
2049,6,D1,107.06562303705353
2049,6,D2,103.91858721827349
2049,6,D3,83.6374045414638
2049,24,D0,110.27843667304859
2049,24,D1,110.34532847955013
2049,24,D2,105.93349608182342
2049,24,D3,82.65442598856514
2049,168,D0,109.65995269290323
2049,168,D1,109.81735842977166
2049,168,D2,104.60588626565422
2049,168,D3,81.74311425594166
2050,0,D0,113.42241639911289
2050,0,D1,113.77984801586867
2050,0,D2,112.97495676527157
2050,0,D3,88.86855684992854
2050,6,D0,105.81530718292498
2050,6,D1,105.95081303933732
2050,6,D2,102.82062226306718
2050,6,D3,82.6714352553344
2050,24,D0,109.09615798337826
2050,24,D1,109.14647429331798
2050,24,D2,104.58897146202864
2050,24,D3,81.71511621634296
2050,168,D0,108.4983481897653
2050,168,D1,108.65022130063721
2050,168,D2,103.28809864575982
2050,168,D3,80.83245573090046
